Team,W,L,T,AverageYards,CompletionRate,Location,Location.1,State,long,lat,group,order,subregion
LA,13,3,0,8.13,63.48,California,California,california,-121.62174987792969,36.165096282958984,4,893,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.66759490966797,36.19374084472656,4,894,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.69624328613281,36.22239303588867,4,895,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.73060607910156,36.22812271118164,4,896,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.78218078613281,36.251041412353516,4,897,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.82801818847656,36.2911491394043,4,898,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.86238861083984,36.319793701171875,4,899,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.86238861083984,36.34844207763672,4,900,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.86238861083984,36.38282012939453,4,901,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.89103698730469,36.46303176879883,4,902,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.89677429199219,36.497413635253906,4,903,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.93114471435547,36.526058197021484,4,904,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.93114471435547,36.53752136230469,4,905,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.90823364257812,36.54324722290039,4,906,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.91968536376953,36.5776252746582,4,907,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.93114471435547,36.58335494995117,4,908,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.91395568847656,36.62345886230469,4,909,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.89103698730469,36.64065170288086,4,910,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.8509292602539,36.63492202758789,4,911,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.83374786376953,36.62919235229492,4,912,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.79364013671875,36.657840728759766,4,913,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.77071380615234,36.72086715698242,4,914,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.7592544555664,36.778160095214844,4,915,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.7649917602539,36.8411865234375,4,916,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.77071380615234,36.85264587402344,4,917,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.7649917602539,36.88129425048828,4,918,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.79936218261719,36.909942626953125,4,919,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.83374786376953,36.950050354003906,4,920,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.88531494140625,36.972965240478516,4,921,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.90823364257812,36.98442459106445,4,922,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.92542266845703,36.96723937988281,4,923,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.95406341552734,36.96723937988281,4,924,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.97125244140625,36.978694915771484,4,925,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.01136016845703,36.96723937988281,4,926,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.0342788696289,36.96723937988281,4,927,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.10303497314453,36.98442459106445,4,928,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.16033935546875,37.018802642822266,4,929,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.2118911743164,37.05318069458008,4,930,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.23481750488281,37.09328842163086,4,931,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.25773620605469,37.110477447509766,4,932,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.29210662841797,37.12193298339844,4,933,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.3035659790039,37.14485168457031,4,934,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.32076263427734,37.156314849853516,4,935,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.33795166015625,37.19068908691406,4,936,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.37232208251953,37.21934127807617,4,937,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.38951873779297,37.25944519042969,4,938,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.38378143310547,37.311012268066406,4,939,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.37232208251953,37.356849670410156,4,940,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.37805938720703,37.40841293334961,4,941,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.4009780883789,37.41987609863281,4,942,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.41816711425781,37.44852066040039,4,943,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.41816711425781,37.48862838745117,4,944,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.42962646484375,37.50581741333008,4,945,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.46973419189453,37.517276763916016,4,946,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.4869155883789,37.55165100097656,4,947,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.4869155883789,37.57456970214844,4,948,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.4869155883789,37.61467742919922,4,949,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.45826721191406,37.631866455078125,4,950,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.45826721191406,37.6490592956543,4,951,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.46973419189453,37.67197799682617,4,952,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.45826721191406,37.70062255859375,4,953,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.46973419189453,37.717811584472656,4,954,NA
LA,13,3,0,8.13,63.48,California,California,california,-122.48119354248047,37.763648986816406,4,955,NA
